"SAMPLE_TYPE"	"PARAMETER"	"LABEL"	"LEGAL_VALUES"	"LABEL_BOATABLE"	"LABEL_WADEABLE"
"INTERPRETATION"	"XFC_ALL"			"Instream Cover Sum: All except algae and aquatic macrophytes (areal proportion)"	"Instream Cover Sum: All except algae and aquatic macrophytes (areal proportion)"
"INTERPRETATION"	"XFC_AQM"			"Instream Cover: Aquatic macrophytes (areal proportion)"	"Instream Cover: Aquatic macrophytes (areal proportion)"
"INTERPRETATION"	"XFC_BIG"			"Instream Cover Sum: wood, boulders, over-hang banks, human structures (areal proportion)"	"Instream Cover Sum: wood, boulders, over-hang banks, human structures (areal proportion)"
"INTERPRETATION"	"XFC_BRS"			"Instream Cover: Brush (areal proportion)"	"Instream Cover: Brush (areal proportion)"
"INTERPRETATION"	"XFC_HUM"			"Instream Cover: Anthropogenic Structures/Trash (areal proportion)"	"Instream Cover: Anthropogenic Structures/Trash (areal proportion)"
"INTERPRETATION"	"XFC_LVT"			"Instream Cover: Live Trees (areal proportion)"	"Instream Cover: Live Trees (areal proportion)"
"INTERPRETATION"	"XFC_LWD"			"Instream Cover: Large woody debris (areal proportion)"	"Instream Cover: Large woody debris (areal proportion)"
"INTERPRETATION"	"XFC_NAT"			"Instream Cover Sum: non-anthropogenic cover types (areal proportion)"	"Instream Cover Sum: non-anthropogenic cover types (areal proportion)"
"INTERPRETATION"	"XFC_OHV"			"Instream Cover: Overhanging Vegetation <1m above surface (areal proportion)"	"Instream Cover: Overhanging Vegetation <1m above surface (areal proportion)"
"INTERPRETATION"	"XFC_RCK"			"Instream Cover: Rocks and Ledges (areal proportion)"	"Instream Cover: Rocks and Ledges (areal proportion)"
"INTERPRETATION"	"XFC_UCB"			"Instream Cover: Overhanging Banks (areal proportion)"	"Instream Cover: Overhanging Banks (areal proportion)"
"INTERPRETATION"	"XG"			"Same as XGveg?"	"Same as XGveg?"
"INTERPRETATION"	"XGB"			"Barren ground layer areal cover"	"Barren ground layer areal cover"
"INTERPRETATION"	"XGH"			"Non-woody ground layer areal cover"	"Non-woody ground layer areal cover"
"INTERPRETATION"	"XGveg"			"Ground layer Vegetated areal cover"	"Ground layer Vegetated areal cover"
"INTERPRETATION"	"XGW"			"Woody ground layer areal cover"	"Woody ground layer areal cover"
"INTERPRETATION"	"XINC_H"			"Terrace Height above water level (m)"	"Terrace Height above water level (m)"
"INTERPRETATION"	"XM"			"Mid-Layer areal cover"	"Mid-Layer areal cover"
"INTERPRETATION"	"XMH"			"Mid-Layer Herbaceous areal cover"	"Mid-Layer Herbaceous areal cover"
"INTERPRETATION"	"XMW"			"Mid-Layer Woody areal cover"	"Mid-Layer Woody areal cover"
"INTERPRETATION"	"XPCAN"			"Canopy Presence: proportion of reach"	"Canopy Presence: proportion of reach"
"INTERPRETATION"	"XPCM"			"Canopy+Mid-layer Presence: proportion of reach"	"Canopy+Mid-layer Presence: proportion of reach"
"INTERPRETATION"	"XPCMG"			"Canopy+Mid+Ground-layer Presence: proportion of reach"	"Canopy+Mid+Ground-layer Presence: proportion of reach"
"INTERPRETATION"	"XPMGW"			"Woody Canopy+Mid+Ground-layer Presence: proportion of reach"	"Woody Canopy+Mid+Ground-layer Presence: proportion of reach"
"INTERPRETATION"	"XPMID"			"Mid-layer Presence: proportion of reach"	"Mid-layer Presence: proportion of reach"
"INTERPRETATION"	"XSHOR2VG"			"Distance (m) from shoreline to vegetation Boatable only"	"Distance (m) from shoreline to vegetation Boatable only"
"INTERPRETATION"	"XSLOPE"			"Mean Slope of water surface (%)"	"Mean Slope of water surface (%)"
"INTERPRETATION"	"XSLOPE_FIELD"			"Mean Slope of water surface-Field measurement (%)"	"Mean Slope of water surface-Field measurement (%)"
"INTERPRETATION"	"XSLOPE_MAP"			"Mean Slope of water surface-Map-derived measurement (%)"	"Mean Slope of water surface-Map-derived measurement (%)"
"INTERPRETATION"	"XSLOPE_use"			"Mean Slope of water surface-used used in assessment (%)"	"Mean Slope of water surface-used used in assessment (%)"
"INTERPRETATION"	"XUN"			"Mean bank undercut distance (m)"	"Mean bank undercut distance (m)"
"INTERPRETATION"	"XWD_RAT"			"Mean Wetted Width/Thalweg Depth ratio"	"Mean Wetted Width/Thalweg Depth ratio"
"INTERPRETATION"	"XWIDTH"			"Mean Wetted Width (m)"	"Mean Wetted Width (m)"
"INTERPRETATION"	"XWXD"			"Mean Wetted Width x Thalweg depth (m2)"	"Mean Wetted Width x Thalweg depth (m2)"
